task_id,client,project_id,client_tier,team,task_type,seniority,task_complexity_score,brief_quality_score,deadline_pressure,scope_change_flag,pricing_model,created_at,delivered_at,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,created_by,updated_at,task_status,workflow_stage,jira_ticket,legacy_ai_flag,content_version
T00000,Client_F,P038,mid,Content,report,junior,2,3.0,high,0,hourly,2025-11-20,2025-11-25,10.0,0,7.63,5.14,0.75,True,1,1,2.1,69.93,498.11,346.17,151.94,user_096,2025-11-28,review,finalized,JIRA-49014,true,v1
T00001,Client_H,P028,low,Paid Media,release,junior,1,2.0,medium,0,fixed,2026-01-24,2026-01-26,7.0,0,9.52,8.22,0.12,False,1,1,4.48,82.79,847.01,343.18,503.83,user_058,2026-01-26,delivered,client_review,JIRA-84793,false,v1
T00002,Client_D,P009,low,Design,dev,junior,3,4.0,medium,0,fixed,2025-09-16,2025-09-23,5.0,1,8.45,6.15,0.37,True,2,0,2.71,76.4,1374.07,365.02,1009.05,user_074,2025-09-17,in_progress,qa,JIRA-42485,true,v2
T00003,Client_E,P023,mid,Content,design,mid,3,2.0,low,0,hourly,2025-11-06,2025-11-09,3.0,0,28.35,24.22,0.07,False,4,1,0.0,,2379.11,1514.73,864.3800000000001,user_011,2025-11-12,in_progress,briefing,JIRA-53111,false,v1
T00004,Client_C,P014,low,Design,article,senior,2,5.0,low,0,fixed,2026-05-02,2026-05-06,7.0,0,5.93,4.44,0.2,True,2,2,0.84,,709.95,335.27,374.68000000000006,user_007,2026-05-09,review,execution,JIRA-86006,true,v2
T00005,Client_G,P011,mid,Content,ticket,junior,1,2.0,medium,0,hourly,2026-05-10,2026-05-12,2.0,0,5.72,5.03,0.43,True,3,0,3.57,58.52,412.26,227.78,184.48,user_119,2026-05-13,in_progress,qa,JIRA-60375,true,final
T00006,Client_D,P011,high,seo,report,junior,3,2.0,medium,0,hourly,2025-08-27,2025-08-30,3.0,0,13.83,11.5,0.58,True,3,2,4.51,56.55,1523.0,744.12,778.88,user_052,2025-08-31,review,qa,JIRA-11083,false,v1
T00007,Client_G,P014,high,Media,article,junior,4,4.0,low,0,fixed,2026-03-27,2026-03-27,7.0,0,8.83,5.19,0.27,True,5,0,3.05,89.39,1540.97,311.76,1229.21,user_051,2026-03-31,delivered,qa,JIRA-78764,false,v1
T00008,Client_G,P053,low,Design,ad,mid,3,3.0,high,0,value_based,2025-09-10,2025-09-17,3.0,1,8.8,7.39,0.4,True,1,0,1.86,93.27,1040.82,568.06,472.76,user_064,2025-09-14,review,qa,JIRA-77681,false,v1
T00009,Client_B,P054,mid,Media,ticket,junior,2,4.0,medium,0,hourly,2026-04-08,2026-04-10,2.0,0,12.67,9.38,0.4,True,2,1,0.87,77.21,283.23,516.59,-233.36,user_083,2026-04-16,in_progress,qa,,false,final
T00010,Client_F,P020,low,Media,ad,mid,4,3.0,low,0,fixed,2025-09-11,2025-09-14,2.0,1,11.57,7.0,0.38,True,5,1,4.59,51.37,743.55,756.78,-13.230000000000018,user_064,2025-09-12,delivered,client_review,JIRA-82158,false,final
T00011,Client_F,P062,low,content,report,junior,5,4.0,high,0,hourly,2026-05-03,2026-05-09,3.0,1,21.11,13.48,0.56,True,5,1,4.61,78.42,1681.29,661.02,1020.27,user_107,2026-05-10,review,execution,JIRA-10367,true,v2
T00012,Client_A,P047,low,Design,ad,mid,3,5.0,low,0,value_based,2026-03-13,2026-03-16,2.0,1,14.78,14.17,0.12,False,1,3,0.9,76.62,831.85,860.8,-28.94999999999993,user_017,2026-03-22,review,finalized,,true,v1
T00013,Client_C,P054,mid,SEO,article,junior,3,2.0,low,1,hourly,2026-05-12,2026-05-19,2.0,1,5.53,5.07,0.27,True,1,2,2.94,59.93,598.67,277.76,320.91,user_046,2026-05-16,delivered,briefing,JIRA-77165,true,v1
T00014,Client_G,P006,low,Content,dev,junior,1,4.0,medium,0,hourly,2025-07-18,2025-07-23,7.0,0,6.01,4.9,0.54,True,2,0,1.66,79.92,459.38,235.72,223.66,user_046,2025-07-18,in_progress,execution,JIRA-60788,true,v2
T00015,Client_D,P008,mid,SEO,dev,senior,3,3.0,medium,0,fixed,2026-01-24,2026-01-31,7.0,0,12.55,11.4,,True,2,2,0.81,68.28,1255.54,882.97,372.57,user_048,2026-02-01,in_progress,execution,JIRA-62159,false,v1
T00016,Client_Z,P062,mid,SEO,dev,junior,2,2.0,high,0,hourly,2025-09-19,2025-09-23,7.0,0,23.01,14.64,0.5,True,4,0,2.9,46.04,745.07,1272.55,-527.4799999999999,user_113,2025-09-22,review,client_review,,true,v2
T00017,Client_E,P023,high,Media,report,mid,2,2.0,high,0,hourly,2025-12-04,2025-12-10,5.0,1,30.92,21.01,0.25,True,1,0,2.89,,2745.14,1439.98,1305.16,user_066,2025-12-04,review,briefing,JIRA-91601,true,v2
T00018,Client_D,P021,high,Content,report,senior,4,5.0,medium,0,fixed,2026-01-14,2026-01-20,3.0,1,7.75,4.5,0.1,False,4,1,0.69,79.16,1685.41,452.31,1233.1,user_007,2026-01-20,in_progress,qa,JIRA-30343,true,v3
T00019,Client_H,P005,mid,Content,design,junior,2,4.0,high,0,value_based,2025-10-05,2025-10-08,10.0,0,6.37,4.82,0.25,True,4,1,1.54,78.58,1030.0,330.63,699.37,user_031,2025-10-06,blocked,execution,JIRA-42265,true,final
T00020,Client_F,P001,high,SEO,ticket,junior,2,5.0,medium,0,fixed,2025-10-24,2025-10-31,3.0,1,8.27,5.4,0.04,False,3,1,0.61,73.77,697.5,474.04,223.46,user_040,2025-10-28,draft,finalized,JIRA-80701,true,v1
T00021,Client_D,P031,high,SEO,ticket,junior,1,5.0,high,0,fixed,2026-04-11,2026-04-15,7.0,0,4.55,1.1,0.63,True,0,0,0.0,,477.45,277.21,200.24,user_053,2026-04-11,in_progress,execution,,false,v2
T00022,Client_D,P007,mid,Content,release,senior,2,4.0,medium,1,hourly,2026-01-11,2026-01-16,3.0,1,12.97,3.0,0.16,False,2,1,1.07,74.14,299.67,888.6,-588.9300000000001,user_105,2026-01-14,review,finalized,JIRA-86150,false,v2
T00023,Client_B,P015,high,Design,ad,mid,2,1.0,low,0,value_based,2025-11-02,2025-11-06,7.0,0,5.76,4.79,0.88,True,2,0,2.05,62.63,1124.7,358.62,766.08,user_053,2025-11-05,delivered,briefing,JIRA-60009,false,v2
T00024,Client_B,P060,mid,Content,article,mid,2,4.0,high,0,fixed,2025-07-08,2025-07-12,7.0,0,20.37,9.42,0.2,True,4,0,0.0,78.72,834.26,881.65,-47.38999999999999,user_117,2025-07-17,in_progress,briefing,JIRA-45937,true,v2
T00025,Client_G,P002,low,Media,ticket,mid,3,3.0,medium,0,fixed,2026-05-17,2026-05-19,2.0,0,8.67,4.87,0.25,True,6,0,0.88,66.24,180.3,418.18,-237.88,user_056,2026-05-19,archived,client_review,,false,v1
T00026,Client_F,P032,high,Media,article,junior,4,5.0,high,0,fixed,2025-10-22,2025-10-24,5.0,0,8.72,6.27,0.61,True,8,2,1.38,65.8,1647.17,317.81,1329.36,user_089,2025-10-26,delivered,finalized,JIRA-96760,true,v1
T00027,Client_H,P046,mid,seo,ticket,mid,3,3.0,medium,0,fixed,2025-11-17,2025-11-21,5.0,0,5.79,1.82,0.38,True,1,3,2.15,82.88,655.02,2930.2272945112363,-2275.2072945112363,user_114,2025-11-22,delivered,client_review,JIRA-51654,true,v3
T00028,Client_D,P027,high,Content,article,junior,3,4.0,medium,0,value_based,2025-08-17,2025-08-24,2.0,1,4.21,2.68,0.44,True,4,0,0.0,63.44,1448.48,189.83,1258.65,user_089,2025-08-19,in_progress,client_review,JIRA-60183,false,v2
T00029,Client_A,P054,low,SEO,ad,mid,2,2.0,medium,0,fixed,2025-12-16,2025-12-20,5.0,0,8.51,4.01,0.21,True,1,1,0.0,90.9,557.14,675.23,-118.09000000000005,user_050,2025-12-23,in_progress,briefing,JIRA-98839,true,v3
T00030,Client_B,P036,mid,Content,dev,junior,1,2.0,medium,0,fixed,2026-02-19,2026-02-26,10.0,0,16.82,12.94,,True,0,1,1.02,53.62,983.45,618.27,365.18000000000006,user_011,2026-02-26,review,briefing,JIRA-49573,unknown,v1
T00031,Client_G,P044,low,Design,release,mid,1,5.0,medium,0,fixed,2026-05-08,2026-05-10,2.0,0,11.48,6.58,,True,4,2,1.2,60.32,734.72,573.31,161.41000000000008,user_031,2026-05-16,delivered,briefing,JIRA-73572,true,v1
T00032,Client_E,P063,low,Content,dev,junior,4,5.0,high,0,fixed,2025-12-05,2025-12-09,5.0,0,17.74,10.56,0.43,True,1,2,3.79,59.59,1689.93,610.97,1078.96,user_041,2025-12-11,draft,qa,JIRA-17164,true,v2
T00033,Client_F,P044,mid,Design,ticket,mid,4,1.0,high,0,hourly,2025-07-01,2025-07-04,5.0,0,15.29,11.81,0.53,True,6,1,0.0,63.14,1052.17,724.67,327.5000000000001,user_007,2025-07-09,in_progress,finalized,,unknown,v2
T00034,Client_G,P029,high,SEO,article,junior,1,1.0,medium,0,fixed,2026-03-05,2026-03-13,10.0,0,16.25,10.53,0.25,True,2,2,1.92,65.47,639.41,754.57,-115.16000000000008,user_073,2026-03-12,in_progress,finalized,JIRA-68210,false,v4
T00035,Client_C,P054,low,SEO ,article,junior,3,3.0,low,0,hourly,2026-01-16,2026-01-18,5.0,0,13.91,7.72,0.85,True,1,1,1.82,55.95,850.68,695.98,154.69999999999993,user_094,2026-01-24,in_progress,client_review,JIRA-72251,true,v4
T00036,Client_G,P063,high,Media,design,mid,5,4.0,low,0,value_based,2025-12-24,2025-12-24,10.0,0,15.75,13.16,0.65,True,1,2,1.98,59.52,2118.27,1241.52,876.75,user_092,2025-12-24,in_progress,finalized,JIRA-89266,true,final
T00037,Client_F,P053,low,media,ad,junior,4,3.0,medium,0,hourly,2025-11-26,2025-11-29,3.0,0,18.48,14.39,0.05,False,4,2,0.99,61.54,1444.99,801.76,643.23,user_083,2025-12-01,in_progress,briefing,JIRA-66419,true,v3
T00038,Client_B,P022,mid,SEO,dev,senior,1,1.0,low,0,fixed,2026-05-02,2026-05-06,10.0,0,7.77,6.2,0.27,True,1,1,0.0,73.83,796.69,442.53,354.1600000000001,user_117,2026-05-05,in_progress,briefing,JIRA-33620,false,v1
T00039,Client_E,P049,high,Content,report,junior,2,5.0,medium,0,fixed,2025-09-06,2025-09-12,5.0,1,14.69,8.24,0.45,True,3,1,1.55,91.6,1160.31,669.78,490.53,user_052,2025-09-08,blocked,client_review,JIRA-75141,true,v3
T00040,Client_D,P031,mid,Paid Media,ad,mid,1,2.0,medium,0,value_based,2025-07-02,2025-07-04,3.0,0,4.0,3.95,0.37,True,4,1,2.32,,833.92,279.05,554.8699999999999,user_033,2025-07-10,in_progress,execution,JIRA-64978,true,final
